Gpu,Rating,Performance
NVIDIA GeForce GTS 350M,667,0.28
NVIDIA GeForce GTS 360M,579,0.52
NVIDIA GeForce GTS 450,414,2.39
NVIDIA GeForce GTX 1050,181,17.38
NVIDIA GEFORCE GTX 1050M,,9.26
NVIDIA GeForce GTX 1050 Max-Q,223,9.26
NVIDIA GeForce GTX 1050 Mobile,195,11.83
NVIDIA GeForce GTX 1050 Ti,143,24.11
NVIDIA GEFORCE GTX 1050TI,,24.11
NVIDIA GeForce GTX1050 TI,143,24.11
NVIDIA GeForce GTX 1050 Ti Max-Q,147,23.08
NVIDIA GeForce GTX 1050 Ti Mobile,150,22.14
NVIDIA GEFORCE GTX1060,,23.45
NVIDIA GEFORCE GTX 1060,,23.45
NVIDIA GeForce GTX 1060 5 GB,130,27.08
NVIDIA GeForce GTX 1060 Max-Q,145,23.45
NVIDIA GeForce GTX 1060 Mobile,107,30.28
NVIDIA GEFORCE GTX 1070M,,28.23
NVIDIA GEFORCE GTX 1070,,28.23
NVIDIA GeForce GTX 1070 Max-Q,125,28.23
NVIDIA GEFORCE GTX 1080,,39.6668
NVIDIA GEFORCE GTX1080,,36.9813
NVIDIA GeForce GTX 1650 Max-Q,158,20.93
NVIDIA GeForce GTX 1650 Mobile,124,28.49
NVIDIA GeForce GTX 260,497,0.99
NVIDIA GeForce GTX 260M,618,0.4
NVIDIA GeForce GTX 260M SLI,333,4.05
NVIDIA GeForce GTX 275,476,1.27
NVIDIA GeForce GTX 280,478,1.23
NVIDIA GeForce GTX 280M,651,0.32
NVIDIA GeForce GTX 280M SLI,338,3.79
NVIDIA GeForce GTX 285,473,1.3
NVIDIA GeForce GTX 285M,586,0.5
NVIDIA GeForce GTX 285M SLI,310,4.86
NVIDIA GeForce GTX 295,503,0.93
NVIDIA GeForce GTX 460,304,4.96
NVIDIA GeForce GTX 460 768MB,319,4.52
NVIDIA GeForce GTX 460 SE,340,3.78
NVIDIA GeForce GTX 460 v2,321,4.45
NVIDIA GeForce GTX 460M,449,1.5
NVIDIA GeForce GTX 460M SLI,318,4.52
NVIDIA GeForce GTX 465,284,5.73
NVIDIA GeForce GTX 470,246,8.2
NVIDIA GeForce GTX 470M,377,3.08
NVIDIA GeForce GTX 470M SLI,288,5.7
NVIDIA GeForce GTX 480,206,10.1
NVIDIA GeForce GTX 480M,362,3.31
NVIDIA GeForce GTX 480M SLI,287,5.7
NVIDIA GeForce GTX 485M,326,4.28
NVIDIA GeForce GTX 485M SLI,216,9.76
NVIDIA GeForce GTX 550 Ti,381,3.04
NVIDIA GeForce GTX 560,275,6.06
NVIDIA GeForce GTX 560 SE,347,3.67
NVIDIA GeForce GTX 560 Ti,247,8.03
NVIDIA GeForce GTX 560M,419,2.17
NVIDIA GeForce GTX 560M SLI,291,5.41
NVIDIA GeForce GTX 570,202,11.78
NVIDIA GeForce GTX 570M,359,3.4
NVIDIA GeForce GTX 580,177,18.29
NVIDIA GeForce GTX 580M,331,4.06
NVIDIA GeForce GTX 580M SLI,201,11.78
NVIDIA GeForce GTX 590,198,11.78
NVIDIA GeForce GTX 650,386,2.91
NVIDIA GeForce GTX 650 Ti,303,4.97
NVIDIA GeForce GTX 650 Ti Boost,259,7.33
NVIDIA GeForce GTX 660,219,9.76
NVIDIA GeForce GTX 660 Ti,192,12.27
NVIDIA GeForce GTX 660M,454,1.5
NVIDIA GeForce GTX 670,165,20.14
NVIDIA GeForce GTX 670M,375,3.08
NVIDIA GeForce GTX 670MX,356,3.49
NVIDIA GeForce GTX 670MX SLI,199,11.78
NVIDIA GeForce GTX 675M,350,3.58
NVIDIA GeForce GTX 675M SLI,229,9.2
NVIDIA GeForce GTX 675MX,323,4.39
NVIDIA GeForce GTX 680,157,20.94
NVIDIA GeForce GTX 680M,254,7.62
NVIDIA GeForce GTX 680M SLI,135,24.95
NVIDIA GeForce GTX 680MX,212,9.9
