names,Frequency,count
Intel Pentium G3430 , 3.30GHz,3395
AMD Phenom II X4 820,,3393
AMD Phenom II X4 920,,3389
Intel Core i3 3130M , 2.60GHz,3389
AMD Phenom II X4 B35,,3387
Intel Core i5 655K , 3.20GHz,3386
Intel Pentium G2140 , 3.30GHz,3377
Intel Core i5 4250U , 1.30GHz,3376
Intel Xeon E5607 , 2.27GHz,3371
Intel Xeon L5410 , 2.33GHz,3358
Intel Pentium G3260 , 3.30GHz,3356
AMD Phenom II X4 B40,,3352
Intel Core m5 6Y54 , 1.10GHz,3347
AMD Phenom II X4 B93,,3345
Intel Atom C2750 , 2.41GHz,3344
AMD Athlon II X4 641 Quad Core,,3343
Intel Xeon X3430 , 2.40GHz,3343
Intel Xeon X3330 , 2.66GHz,3340
AMD A10 5750M APU,,3340
AMD A8 7200P,,3338
Intel Core2 Quad Q9400 , 2.66GHz,3337
Intel Pentium G3440 , 3.30GHz,3319
Intel Core m3 7Y32 , 1.10GHz,3318
AMD Athlon II X4 640,,3315
Intel Core i5 2515E , 2.50GHz,3313
Intel Core i5 670 , 3.47GHz,3309
Intel Xeon X3320 , 2.50GHz,3306
Intel Core i5 2415M , 2.30GHz,3303
AMD Phenom II X4 B25,,3297
Intel Celeron G4900 , 3.10GHz,3293
Intel Core i5 2430M , 2.40GHz,3286
Intel Core i5 4200U , 1.60GHz,3281
Intel Core2 Quad Q6700 , 2.66GHz,3278
AMD A8 6500T APU,,3276
Intel Core i3 7102E , 2.10GHz,3266
Intel Xeon E5410 , 2.33GHz,3259
AMD Opteron 3260 HE,,3259
Intel Core i3 4000M , 2.40GHz,3257
AMD Phenom II X4 910e,,3254
AMD A8 8600P,,3248
AMD Phenom II X4 910,,3247
Intel Core i5 660 , 3.33GHz,3246
Intel Core2 Quad Q9100 , 2.26GHz,3242
Intel Pentium G3250 , 3.20GHz,3242
Intel Core i5 2435M , 2.40GHz,3232
AMD Athlon II X4 635,,3231
Intel Core m5 6Y57 , 1.10GHz,3231
Intel Core i7 2655LE , 2.20GHz,3229
Intel Core i5 3337U , 1.80GHz,3229
Intel Core i3 3120M , 2.50GHz,3225
Intel Core i7 3689Y , 1.50GHz,3220
Intel Celeron G4920 , 3.20GHz,3220
Intel Core i7 820QM , 1.73GHz,3220
AMD FX 7500 APU,,3203
Intel Core i3 4330TE , 2.40GHz,3201
Intel Pentium G2130 , 3.20GHz,3200
Intel Core i3 5020U , 2.20GHz,3198
AMD Athlon II X4 638 Quad Core,,3198
Intel Core i3 6102E , 1.90GHz,3196
Intel Core i5 661 , 3.33GHz,3192
